,zip code,lat,lng,city,population,density,Regular avg,Midgrade avg,Premium avg,Household Income Median
0,92014,32.96797,-117.24879,Del Mar,12823.0,785.2,6.1933333333333325,6.3933333333333335,6.586666666666666,155531
1,92025,33.08492,-117.02967,Escondido,50831.0,877.2,5.966666666666667,6.178888888888888,6.327777777777778,58273
2,92027,33.13263,-116.98335,Escondido,56878.0,368.0,6.5,6.7,6.8,65989
3,92037,32.85257,-117.25104,La Jolla,37505.0,1202.1,6.33,6.55,6.68,109194
4,92071,32.85045,-116.99479,Santee,59826.0,1225.5,6.18,6.402857142857143,6.624285714285714,87334
5,92101,32.7162,-117.18589,San Diego,43096.0,3090.7,6.685714285714285,6.8585714285714285,6.957142857142857,71925
6,92102,32.71595,-117.11749,San Diego,40083.0,3446.3,6.333333333333333,6.533333333333334,6.683333333333334,51744
7,92103,32.74782,-117.16738,San Diego,33873.0,3549.3,6.540000000000001,6.76,6.92,78720
8,92104,32.74191,-117.12781,San Diego,45773.0,4783.5,6.365555555555556,6.56,6.747777777777778,67668
9,92105,32.73756,-117.09193,San Diego,73085.0,4902.8,6.283333333333334,6.435,6.6883333333333335,43282
10,92106,32.71334,-117.23617,San Diego,20889.0,1423.9,6.220000000000001,6.48,6.72,103840
11,92107,32.7402,-117.24357,San Diego,29753.0,3798.5,6.3500000000000005,6.483333333333333,6.633333333333333,85299
12,92108,32.77423,-117.14097,San Diego,21995.0,1926.5,6.5024999999999995,6.6725,6.755,75296
13,92109,32.78699,-117.23273,San Diego,45333.0,2300.3,5.9975000000000005,6.380000000000001,6.41,80467
14,92110,32.76533,-117.19965,San Diego,30318.0,2338.0,6.272222222222222,6.501111111111111,6.634444444444444,73651
15,92111,32.8065,-117.16897,San Diego,49351.0,2247.4,6.398333333333333,6.616666666666667,6.733333333333333,74217
16,92113,32.69591,-117.12012,San Diego,51461.0,4405.1,6.2,6.433333333333334,6.566666666666666,40310
17,92114,32.70778,-117.05529,San Diego,67745.0,3155.9,6.07,6.266,6.4159999999999995,66015
18,92115,32.76154,-117.07187,San Diego,61450.0,3845.7,6.433333333333334,6.7,6.766666666666667,51636
19,92116,32.76484,-117.12303,San Diego,31470.0,3595.1,6.4,6.625,6.824999999999999,74559
20,92117,32.82493,-117.19972,San Diego,55195.0,2448.7,6.22,6.3950000000000005,6.495,86243
21,92119,32.80896,-117.03232,San Diego,24465.0,1438.9,6.1,6.324999999999999,6.45,92500
22,92120,32.79526,-117.07317,San Diego,29172.0,1466.5,6.449999999999999,6.779999999999999,6.8100000000000005,97747
23,92121,32.8973,-117.20231,San Diego,4213.0,129.7,6.460000000000001,6.66,6.613333333333333,107786
24,92122,32.85681,-117.21017,San Diego,45676.0,3279.1,6.353333333333333,6.55,6.7,79816
25,92123,32.80958,-117.13419,San Diego,33035.0,1481.2,6.44,6.7,6.840000000000001,81899
26,92124,32.82823,-117.08528,San Diego,31593.0,1246.8,6.1000000000000005,6.383333333333333,6.55,93147
27,92126,32.912,-117.14344,San Diego,78097.0,2602.5,6.325,6.5225,6.62,96915
28,92127,33.01913,-117.12339,San Diego,50852.0,865.9,6.3999999999999995,6.633333333333333,6.716666666666666,138338
29,92128,32.99687,-117.07308,San Diego,50161.0,1654.5,6.34,6.528333333333333,6.678333333333334,103238
30,92129,32.96354,-117.12622,San Diego,53742.0,1585.9,6.32,6.52,6.685,125250
31,92130,32.94763,-117.20586,San Diego,57197.0,1189.6,6.536,6.776000000000001,6.928,155452
32,92131,32.89604,-117.05737,San Diego,36070.0,360.4,6.253333333333333,6.419999999999999,6.573333333333333,137500
33,92139,32.68006,-117.04889,San Diego,35364.0,3816.4,7.0,7.2,7.1,69541
34,92154,32.578,-116.96621,San Diego,85024.0,639.9,6.10625,6.325,6.50375,66498
35,92173,32.55552,-117.05114,San Ysidro,29634.0,3976.4,6.300000000000001,6.475,6.8,46549
